
Traza a la direcci¢n facebook.com [157.240.6.35]
sobre un m ximo de 30 saltos:

  1     3 ms     3 ms     2 ms  192.168.1.254 
  2    13 ms    12 ms    11 ms  10.166.10.234 
  3    14 ms    14 ms    11 ms  10.166.10.234 
  4    12 ms    12 ms    10 ms  10.166.10.233 
  5    13 ms    17 ms    13 ms  static-adsl200-24-33-209.epm.net.co [200.24.33.209] 
  6    11 ms    11 ms    11 ms  static-adsl200-24-33-125.epm.net.co [200.24.33.125] 
  7    12 ms    14 ms    12 ms  po101.psw01.bog1.tfbnw.net [157.240.40.101] 
  8    15 ms    14 ms    11 ms  173.252.67.5 
  9    11 ms    11 ms    11 ms  edge-star-mini-shv-01-bog1.facebook.com [157.240.6.35] 

Traza completa.
